m,discount_factor,result
-5,0.93,"{'both_state_and_action_information': {'average_cooperation': 0.182, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation               79.0        18.2
1      Defection               89.0        81.8}, 'only_action_history_information': {'average_cooperation': 0.003, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             8406.0       100.0}, 'only_state_information': {'average_cooperation': 0.0, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection               79.0       100.0}, 'no_information': {'average_cooperation': 0.003, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             5159.0       100.0}}"
-5,0.9450000000000001,"{'both_state_and_action_information': {'average_cooperation': 0.273, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation               77.0        27.3
1      Defection               94.0        72.7}, 'only_action_history_information': {'average_cooperation': 0.008, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             8573.0       100.0}, 'only_state_information': {'average_cooperation': 0.0, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection               85.0       100.0}, 'no_information': {'average_cooperation': 0.003, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             5155.0       100.0}}"
-5,0.9600000000000001,"{'both_state_and_action_information': {'average_cooperation': 0.327, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation              108.5        32.7
1      Defection              106.0        67.3}, 'only_action_history_information': {'average_cooperation': 0.031, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             8586.5        98.2
1          Mixed             9977.0         1.8}, 'only_state_information': {'average_cooperation': 0.0, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection               96.0       100.0}, 'no_information': {'average_cooperation': 0.003, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             5156.0       100.0}}"
-5,0.9750000000000001,"{'both_state_and_action_information': {'average_cooperation': 0.527, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation              260.0        52.7
1      Defection              134.0        47.3}, 'only_action_history_information': {'average_cooperation': 0.15, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation            10000.0        12.7
1      Defection             7686.0        78.2
2          Mixed            10000.0         9.1}, 'only_state_information': {'average_cooperation': 0.124, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation              225.0        12.7
1      Defection              125.5        87.3}, 'no_information': {'average_cooperation': 0.003, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             5157.0       100.0}}"
-5,0.9900000000000001,"{'both_state_and_action_information': {'average_cooperation': 0.891, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation               39.0        89.1
1      Defection              227.0        10.9}, 'only_action_history_information': {'average_cooperation': 0.108, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation            10000.0         9.1
1      Defection             7693.0        81.8
2          Mixed            10000.0         9.1}, 'only_state_information': {'average_cooperation': 0.889, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation               40.0        89.1
1      Defection              248.0        10.9}, 'no_information': {'average_cooperation': 0.003, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             5153.0       100.0}}"
-6,0.93,"{'both_state_and_action_information': {'average_cooperation': 0.218, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation               81.0        21.8
1      Defection               95.0        78.2}, 'only_action_history_information': {'average_cooperation': 0.003, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             8700.0       100.0}, 'only_state_information': {'average_cooperation': 0.0, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection               85.0       100.0}, 'no_information': {'average_cooperation': 0.003, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             5179.0       100.0}}"
-6,0.9450000000000001,"{'both_state_and_action_information': {'average_cooperation': 0.291, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation               85.0        29.1
1      Defection              104.0        70.9}, 'only_action_history_information': {'average_cooperation': 0.006, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             8665.0       100.0}, 'only_state_information': {'average_cooperation': 0.0, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection               93.0       100.0}, 'no_information': {'average_cooperation': 0.003, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             5178.0       100.0}}"
-6,0.9600000000000001,"{'both_state_and_action_information': {'average_cooperation': 0.364, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation              209.0        36.4
1      Defection              123.0        63.6}, 'only_action_history_information': {'average_cooperation': 0.077, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation            10000.0         1.8
1      Defection             7926.0        92.7
2          Mixed            10000.0         5.5}, 'only_state_information': {'average_cooperation': 0.0, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection              112.0       100.0}, 'no_information': {'average_cooperation': 0.003, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             5176.0       100.0}}"
-6,0.9750000000000001,"{'both_state_and_action_information': {'average_cooperation': 0.618, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation              165.0        61.8
1      Defection              180.0        38.2}, 'only_action_history_information': {'average_cooperation': 0.104, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation            10000.0         3.6
1      Defection             7859.0        85.5
2          Mixed            10000.0        10.9}, 'only_state_information': {'average_cooperation': 0.359, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation              130.5        36.4
1      Defection              159.0        63.6}, 'no_information': {'average_cooperation': 0.003, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             5179.0       100.0}}"
-6,0.9900000000000001,"{'both_state_and_action_information': {'average_cooperation': 0.964, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation               32.0        96.4
1      Defection              110.5         3.6}, 'only_action_history_information': {'average_cooperation': 0.107, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation             7715.0         9.1
1      Defection             7686.0        83.6
2          Mixed             9139.0         7.3}, 'only_state_information': {'average_cooperation': 0.998, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation               32.0       100.0}, 'no_information': {'average_cooperation': 0.003, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             5174.0       100.0}}"
